"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Anrede","Deck","Seite"
"Nein","3","männlich",22,1,0,7.25,"Southampton","Mr",NA,NA
"Ja","1","weiblich",38,1,0,71.2833,"Cherbourg","Mrs","C","Steuerbord"
"Ja","3","weiblich",26,0,0,7.925,"Southampton","Miss",NA,NA
"Ja","1","weiblich",35,1,0,53.1,"Southampton","Mrs","C","Steuerbord"
"Nein","3","männlich",35,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,8.4583,"Queenstown","Mr",NA,NA
"Nein","1","männlich",54,0,0,51.8625,"Southampton","Mr","E","Backbord"
"Nein","3","männlich",2,3,1,21.075,"Southampton","Master",NA,NA
"Ja","3","weiblich",27,0,2,11.1333,"Southampton","Mrs",NA,NA
"Ja","2","weiblich",14,1,0,30.0708,"Cherbourg","Mrs",NA,NA
"Ja","3","weiblich",4,1,1,16.7,"Southampton","Miss","G","Backbord"
"Ja","1","weiblich",58,0,0,26.55,"Southampton","Miss","C","Steuerbord"
"Nein","3","männlich",20,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",39,1,5,31.275,"Southampton","Mr",NA,NA
"Nein","3","weiblich",14,0,0,7.8542,"Southampton","Miss",NA,NA
"Ja","2","weiblich",55,0,0,16,"Southampton","Mrs",NA,NA
"Nein","3","männlich",2,4,1,29.125,"Queenstown","Master",NA,NA
"Ja","2","männlich",30,0,0,13,"Southampton","Mr",NA,NA
"Nein","3","weiblich",31,1,0,18,"Southampton","Mrs",NA,NA
"Ja","3","weiblich",35,0,0,7.225,"Cherbourg","Mrs",NA,NA
"Nein","2","männlich",35,0,0,26,"Southampton","Mr",NA,NA
"Ja","2","männlich",34,0,0,13,"Southampton","Mr","D","Backbord"
"Ja","3","weiblich",15,0,0,8.0292,"Queenstown","Miss",NA,NA
"Ja","1","männlich",28,0,0,35.5,"Southampton","Mr","A","Backbord"
"Nein","3","weiblich",8,3,1,21.075,"Southampton","Miss",NA,NA
"Ja","3","weiblich",38,1,5,31.3875,"Southampton","Mrs",NA,NA
"Nein","3","männlich",30,0,0,7.225,"Cherbourg","Mr",NA,NA
"Nein","1","männlich",19,3,2,263,"Southampton","Mr","C","Steuerbord"
"Ja","3","weiblich",21,0,0,7.8792,"Queenstown","Miss",NA,NA
"Nein","3","männlich",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","1","männlich",40,0,0,27.7208,"Cherbourg","Selten",NA,NA
"Ja","1","weiblich",35,1,0,146.5208,"Cherbourg","Mrs","B","Backbord"
"Ja","3","weiblich",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Nein","2","männlich",66,0,0,10.5,"Southampton","Mr",NA,NA
"Nein","1","männlich",28,1,0,82.1708,"Cherbourg","Mr",NA,NA
"Nein","1","männlich",42,1,0,52,"Southampton","Mr",NA,NA
"Ja","3","männlich",30,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",21,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","weiblich",18,2,0,18,"Southampton","Miss",NA,NA
"Ja","3","weiblich",14,1,0,11.2417,"Cherbourg","Miss",NA,NA
"Nein","3","weiblich",40,1,0,9.475,"Southampton","Mrs",NA,NA
"Nein","2","weiblich",27,1,0,21,"Southampton","Mrs",NA,NA
"Nein","3","männlich",30,0,0,7.8958,"Cherbourg","Mr",NA,NA
"Ja","2","weiblich",3,1,2,41.5792,"Cherbourg","Miss",NA,NA
"Ja","3","weiblich",19,0,0,7.8792,"Queenstown","Miss",NA,NA
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,1,0,15.5,"Queenstown","Mr",NA,NA
"Ja","3","weiblich",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Nein","3","männlich",30,2,0,21.6792,"Cherbourg","Mr",NA,NA
"Nein","3","weiblich",18,1,0,17.8,"Southampton","Mrs",NA,NA
"Nein","3","männlich",7,4,1,39.6875,"Southampton","Master",NA,NA
"Nein","3","männlich",21,0,0,7.8,"Southampton","Mr",NA,NA
"Ja","1","weiblich",49,1,0,76.7292,"Cherbourg","Mrs","D","Steuerbord"
"Ja","2","weiblich",29,1,0,26,"Southampton","Mrs",NA,NA
"Nein","1","männlich",65,0,1,61.9792,"Cherbourg","Mr","B","Backbord"
"Ja","1","männlich",30,0,0,35.5,"Southampton","Mr","C","Backbord"
"Ja","2","weiblich",21,0,0,10.5,"Southampton","Miss",NA,NA
"Nein","3","männlich",28.5,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Ja","2","weiblich",5,1,2,27.75,"Southampton","Miss",NA,NA
"Nein","3","männlich",11,5,2,46.9,"Southampton","Master",NA,NA
"Nein","3","männlich",22,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Ja","1","weiblich",38,0,0,80,NA,"Miss","B","Backbord"
"Nein","1","männlich",45,1,0,83.475,"Southampton","Mr","C","Steuerbord"
"Nein","3","männlich",4,3,2,27.9,"Southampton","Master",NA,NA
"Nein","1","männlich",30,0,0,27.7208,"Cherbourg","Mr",NA,NA
"Ja","3","männlich",3.5,1,1,15.2458,"Cherbourg","Master",NA,NA
"Ja","2","weiblich",29,0,0,10.5,"Southampton","Mrs","F","Steuerbord"
"Nein","3","männlich",19,0,0,8.1583,"Southampton","Mr",NA,NA
"Ja","3","weiblich",17,4,2,7.925,"Southampton","Miss",NA,NA
"Nein","3","männlich",26,2,0,8.6625,"Southampton","Mr",NA,NA
"Nein","2","männlich",32,0,0,10.5,"Southampton","Mr",NA,NA
"Nein","3","weiblich",16,5,2,46.9,"Southampton","Miss",NA,NA
"Nein","2","männlich",21,0,0,73.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",26,1,0,14.4542,"Cherbourg","Mr",NA,NA
"Ja","3","männlich",32,0,0,56.4958,"Southampton","Mr",NA,NA
"Nein","3","männlich",25,0,0,7.65,"Southampton","Mr","F",NA
"Nein","3","männlich",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Ja","2","männlich",0.83,0,2,29,"Southampton","Master",NA,NA
"Ja","3","weiblich",30,0,0,12.475,"Southampton","Miss",NA,NA
"Nein","3","männlich",22,0,0,9,"Southampton","Mr",NA,NA
"Ja","3","männlich",29,0,0,9.5,"Southampton","Mr",NA,NA
"Ja","3","weiblich",21,0,0,7.7875,"Queenstown","Miss",NA,NA
"Nein","1","männlich",28,0,0,47.1,"Southampton","Mr",NA,NA
"Ja","2","weiblich",17,0,0,10.5,"Southampton","Miss",NA,NA
"Ja","3","weiblich",33,3,0,15.85,"Southampton","Mrs",NA,NA
"Nein","3","männlich",16,1,3,34.375,"Southampton","Mr",NA,NA
